"","charMA.DRUGBANK_ID","charMA.DRUG_GROUPS","charMA.GENERIC_NAME"
"CMP5788","DB08515","experimental","(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE"
"CMP5789","DB08517","experimental","Sakuranetin"
"CMP5790","DB08519","experimental","N~4~-(3-methyl-1H-indazol-6-yl)-N~2~-(3,4,5-trimethoxyphenyl)pyrimidine-2,4-diamine"
"CMP5791","DB08520","experimental","(21S)-1AZA-4,4-DIMETHYL-6,19-DIOXA-2,3,7,20-TETRAOXOBICYCLO[19.4.0] PENTACOSANE"
"CMP5792","DB08521","experimental","4-[4-(4-Fluorophenyl)-2-[4-[(R)-methylsulfinyl]phenyl]-1H-imidazol-5-yl]pyridine"
"CMP5793","DB08522","experimental","4-(4-FLUOROPHENYL)-1-CYCLOROPROPYLMETHYL-5-(4-PYRIDYL)-IMIDAZOLE"
"CMP5794","DB08523","experimental","[HYDROXY(3-PHENYLPROPYL)AMINO]METHANOL"
"CMP5795","DB08524","experimental","2-(3-BENZOYLPHENOXY)ETHYL(HYDROXY)FORMAMIDE"
"CMP5796","DB08525","experimental","HYDROXY[3-(6-METHYLPYRIDIN-2-YL)PROPYL]FORMAMIDE"
"CMP5797","DB08526","experimental","CARBOBENZYLOXY-(L)-LEUCINYL-(L)LEUCINYL METHOXYMETHYLKETONE"
"CMP5798","DB08528","experimental","2-AMINO-6-(3,5-DIMETHYLPHENYL)SULFONYLBENZONITRILE"
"CMP5799","DB08529","experimental","(6E,11E)-HEPTADECA-6,11-DIENE-9,9-DIYLBIS(PHOSPHONIC ACID)"
"CMP5800","DB08530","experimental","7-BENZYL-1,3-DIMETHYL-8-PIPERAZIN-1-YL-3,7-DIHYDRO-PURINE-2,6-DIONE"
"CMP5801","DB08531","experimental","5-(2,3-dichlorophenyl)-N-(pyridin-4-ylmethyl)pyrazolo[1,5-a]pyrimidin-7-amine"
"CMP5802","DB08532","experimental","6-(2-fluorophenyl)-N-(pyridin-3-ylmethyl)imidazo[1,2-a]pyrazin-8-amine"
"CMP5803","DB08533","experimental","3-methyl-N-(pyridin-4-ylmethyl)imidazo[1,2-a]pyrazin-8-amine"
"CMP5804","DB08534","experimental","5-(2-fluorophenyl)-N-(pyridin-4-ylmethyl)pyrazolo[1,5-a]pyrimidin-7-amine"
"CMP5805","DB08535","experimental","3-bromo-5-phenyl-N-(pyridin-3-ylmethyl)pyrazolo[1,5-a]pyrimidin-7-amine"
"CMP5806","DB08536","experimental","3-bromo-5-phenyl-N-(pyrimidin-5-ylmethyl)pyrazolo[1,5-a]pyridin-7-amine"
"CMP5807","DB08537","experimental","3-bromo-6-phenyl-N-(pyrimidin-5-ylmethyl)imidazo[1,2-a]pyridin-8-amine"
"CMP5808","DB08538","experimental","N-((2-aminopyrimidin-5-yl)methyl)-5-(2,6-difluorophenyl)-3-ethylpyrazolo[1,5-a]pyrimidin-7-amine"
"CMP5809","DB08539","experimental","3-cyclopropyl-5-phenyl-N-(pyridin-3-ylmethyl)pyrazolo[1,5-a]pyrimidin-7-amine"
"CMP5810","DB08540","experimental","2-[4-(2H-1,4-BENZOTHIAZINE-3-YL)-PIPERAZINE-1-LY]-1,3-THIAZOLE-4-CARBOXYLIC ACID ETHYLESTER"
"CMP5811","DB08542","experimental","3,4-dihydroxy-9,10-secoandrosta-1(10),2,4-triene-9,17-dione"
"CMP5812","DB08543","experimental","1-[2-HYDROXY-3-(4-CYCLOHEXYL-PHENOXY)-PROPYL]-4-(2-PYRIDYL)-PIPERAZINE"
"CMP5813","DB08544","experimental","(S)-Fluoxetine"
"CMP5814","DB08545","experimental","(1S)-1-Phenylethyl (4-acetamidobenzyl)phosphonate"
"CMP5815","DB08546","experimental","4-[(3AS,4R,7R,8AS,8BR)-2-(1,3-BENZODIOXOL-5-YLMETHYL)-7-HYDROXY-1,3-DIOXODECAHYDROPYRROLO[3,4-A]PYRROLIZIN-4-YL]BENZENECARBOXIMIDAMIDE"
"CMP5816","DB08547","experimental","PROGESTERONE-11-ALPHA-OL-HEMISUCCINATE"
"CMP5817","DB08548","experimental","[(4S)-2,2-dimethyl-1,3-dioxolan-4-yl]methyl hydrogen hex-5-enylphosphonate"
"CMP5818","DB08549","experimental","(3R)-METHYLCARBAMOYL-7-SULFOAMINO-3,4-DIHYDRO-1H-ISOQUINOLINE-2-CARBOXYLIC ACID BENZYL ESTER"
"CMP5819","DB08550","experimental","7,8-Dichloro-1,2,3,4-tetrahydroisoquinoline"
"CMP5820","DB08553","experimental","(1E)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1H-pyrazol-4-yl)-2,3-dihydro-1H-inden-1-one oxime"
"CMP5821","DB08554","experimental","N-(3-carboxypropanoyl)-L-norvaline"
"CMP5822","DB08555","experimental","1-(3-bromophenyl)-7-chloro-6-methoxy-3,4-dihydroisoquinoline"
"CMP5823","DB08556","experimental","5'-ACETYL-4-{[(2,4-DIMETHYLPHENYL)SULFONYL]AMINO}-2,2'-BITHIOPHENE-5-CARBOXYLIC ACID"
"CMP5824","DB08557","experimental","2-[(2-methoxyethyl)amino]-4-(4-oxo-1,2,3,4-tetrahydro-9H-carbazol-9-yl)benzamide"
"CMP5825","DB08558","experimental","2-HYDROXYMETHYL-6-OCTYLSULFANYL-TETRAHYDRO-PYRAN-3,4,5-TRIOL"
"CMP5826","DB08559","experimental","N-[(2S,4S,6R)-2-(dihydroxymethyl)-4-hydroxy-3,3-dimethyl-7-oxo-4lambda~4~-thia-1-azabicyclo[3.2.0]hept-6-yl]-2-phenylacetamide"
"CMP5827","DB08560","experimental","3-FLUORO-N-[1-(4-FLUOROPHENYL)-3-(2-THIENYL)-1H-PYRAZOL-5-YL]BENZENESULFONAMIDE"
"CMP5828","DB08561","experimental","BENZYL 6-BENZYL-5,7-DIOXO-6,7-DIHYDRO-5H-[1,3]THIAZOLO[3,2-C]PYRIMIDINE-2-CARBOXYLATE"
"CMP5829","DB08562","experimental","4-(4-STYRYL-PHENYLCARBAMOYL)-BUTYRIC ACID"
"CMP5830","DB08564","experimental","(2E)-N-{4-[(3-bromophenyl)amino]quinazolin-6-yl}-4-(dimethylamino)but-2-enamide"
"CMP5831","DB08568","experimental","A-674563"
"CMP5832","DB08569","experimental","3-PYRIDIN-4-YL-2,4-DIHYDRO-INDENO[1,2-.C.] PYRAZOLE"
"CMP5833","DB08570","experimental","4-(ACETYLAMINO)-3-HYDROXY-5-NITROBENZOIC ACID"
"CMP5834","DB08571","experimental","4-(ACETYLAMINO)-5-AMINO-3-HYDROXYBENZOIC ACID"
"CMP5835","DB08572","experimental","4-{[4-AMINO-6-(CYCLOHEXYLMETHOXY)-5-NITROSOPYRIMIDIN-2-YL]AMINO}BENZAMIDE"
"CMP5836","DB08573","experimental","3-[(4-CHLOROANILINO)SULFONYL]THIOPHENE-2-CARBOXYLIC ACID"
"CMP5837","DB08574","experimental","(5R)-2-sulfanyl-5-[4-(trifluoromethyl)benzyl]-1,3-thiazol-4(5H)-one"
"CMP5838","DB08575","experimental","2-[(1S)-1-BENZYL-2-SULFANYLETHYL]-1H-IMIDAZO[4,5-C]PYRIDIN-5-IUM"
"CMP5839","DB08576","experimental","1-(5-TERT-BUTYL-1,3,4-OXADIAZOL-2-YL)-2-(METHYLAMINO)ETHANONE"
"CMP5840","DB08577","experimental","3-[(3-(2-CARBOXYETHYL)-4-METHYLPYRROL-2-YL)METHYLENE]-2-INDOLINONE"
"CMP5841","DB08578","experimental","4-[(5-bromopyridin-2-yl)amino]-4-oxobutanoic acid"
"CMP5842","DB08579","experimental","4-bromo-2-{[(3R,5S)-3,5-dimethylpiperidin-1-yl]carbonyl}aniline"
"CMP5843","DB08580","experimental","4-bromo-2-{[(2R)-2-(2-chlorobenzyl)pyrrolidin-1-yl]carbonyl}aniline"
"CMP5844","DB08581","experimental","4-[(4-bromo-2-{[(3R,5S)-3,5-dimethylpiperidin-1-yl]carbonyl}phenyl)amino]-4-oxobutanoic acid"
"CMP5845","DB08582","experimental","N-(4-bromo-2-{[(3R,5S)-3,5-dimethylpiperidin-1-yl]carbonyl}phenyl)-4-morpholin-4-yl-4-oxobutanamide"
"CMP5846","DB08587","experimental","Sinapic acid"
"CMP5847","DB08588","experimental","2-({2-[(3R)-3-AMINOPIPERIDIN-1-YL]-4-OXOQUINAZOLIN-3(4H)-YL}METHYL)BENZONITRILE"
"CMP5848","DB08589","experimental","SYRINGATE"
"CMP5849","DB08590","experimental","1-(3-HYDROXYPROPYL)-2-[(3-NITROBENZOYL)AMINO]-1H-BENZIMIDAZOL-5-YL PIVALATE"
"CMP5850","DB08591","experimental","5-(4-METHOXYBIPHENYL-3-YL)-1,2,5-THIADIAZOLIDIN-3-ONE 1,1-DIOXIDE"
"CMP5851","DB08593","experimental","1,2,5-THIADIAZOLIDIN-3-ONE-1,1-DIOXIDE"
"CMP5852","DB08594","experimental","TERT-BUTYL 2-CYANO-2-METHYLHYDRAZINECARBOXYLATE"
"CMP5853","DB08595","experimental","4-[(1S,2R,5S)-4,4,8-TRIMETHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL"
"CMP5854","DB08596","experimental","5'-deoxy-5'-piperidin-1-ylthymidine"
"CMP5855","DB08597","experimental","Dorsomorphin"
"CMP5856","DB08598","experimental","R-82913"
"CMP5857","DB08599","experimental","N-[(4-methoxyphenyl)sulfonyl]-D-alanine"
"CMP5858","DB08600","experimental","Tivirapine"
"CMP5859","DB08602","experimental","3-(2,6-difluorophenyl)-2-(methylthio)quinazolin-4(3H)-one"
"CMP5860","DB08603","experimental","N-[(1S)-5-amino-1-(chloroacetyl)pentyl]-4-methylbenzenesulfonamide"
"CMP5861","DB08604","approved; investigational","Triclosan"
"CMP5862","DB08606","experimental","(3R,4S)-1-[(4-AMINO-5H-PYRROLO[3,2-D]PYRIMIDIN-7-YL)METHYL]-4-[(METHYLSULFANYL)METHYL]PYRROLIDIN-3-OL"
"CMP5863","DB08607","experimental","(5R)-5-(4-{[(2R)-6-HYDROXY-2,5,7,8-TETRAMETHYL-3,4-DIHYDRO-2H-CHROMEN-2-YL]METHOXY}BENZYL)-1,3-THIAZOLIDINE-2,4-DIONE"
"CMP5864","DB08608","experimental","4-({(2R,5S)-2,5-DIMETHYL-4-[(2R)-3,3,3-TRIFLUORO-2-HYDROXY-2-METHYLPROPANOYL]PIPERAZIN-1-YL}CARBONYL)BENZONITRILE"
"CMP5865","DB08609","experimental","(2R)-N-{4-[Ethyl(phenyl)sulfamoyl]-2-methylphenyl}-3,3,3-trifluoro-2-hydroxy-2-methylpropanamide"
"CMP5866","DB08610","experimental","N-(2-AMINOETHYL)-2-{3-CHLORO-4-[(4-ISOPROPYLBENZYL)OXY]PHENYL} ACETAMIDE"
"CMP5867","DB08611","experimental","2-[(2',3',4'-TRIFLUOROBIPHENYL-2-YL)OXY]ETHANOL"
"CMP5868","DB08612","experimental","1,1,1-TRIFLUORO-3-(OCTYLTHIO)ACETONE"
"CMP5869","DB08613","experimental","2,2,2-TRIFLUORO-1-{5-[(3-PHENYL-5,6-DIHYDROIMIDAZO[1,2-A]PYRAZIN-7(8H)-YL)CARBONYL]THIOPHEN-2-YL}ETHANE-1,1-DIOL"
"CMP5870","DB08614","experimental","3-[[(METHYLAMINO)SULFONYL]AMINO]-2-OXO-6-PHENYL-N-[3,3,3-TRIFLUORO-1-(1-METHYLETHYL)-2-OXOPHENYL]-1(2H)-PYRIDINE ACETAMIDE"
"CMP5871","DB08615","experimental","2-[4-(DIMETHYLAMINO)PHENYL]-6-HYDROXY-3-METHYL-1,3-BENZOTHIAZOL-3-IUM"
"CMP5872","DB08617","experimental","4-(2,2,2-TRIFLUOROETHYL)-L-PHENYLALANINE"
"CMP5873","DB08618","experimental","3-(HYDROXY-PHENYL-PHOSPHINOYLOXY)-8-METHYL-8-AZA-BICYCLO[3.2.1]OCTANE-2-CARBOXYLIC ACID METHYL ESTER"
"CMP5874","DB08619","experimental","Testosterone succinate"
"CMP5875","DB08621","experimental; investigational","Thiamphenicol"
"CMP5876","DB08622","experimental","4-(4-CHLORO-PHENYL)-1-{3-[2-(4-FLUORO-PHENYL)-[1,3]DITHIOLAN-2-YL]-PROPYL}-PIPERIDIN-4-OL"
"CMP5877","DB08623","experimental","2-[CARBOXY-(2-THIOPHEN-2-YL-ACETYLAMINO)-METHYL]-5-METHYLENE-5,6-DIHYDRO-2H-[1,3]THIAZINE-4-CARBOXYLIC ACID"
"CMP5878","DB08624","experimental","1-[(4S)-4-amino-5-(1,3-benzothiazol-2-yl)-5-oxopentyl]guanidine"
"CMP5879","DB08626","experimental","Thiorphan"
"CMP5880","DB08629","experimental","N1-(2-AMINO-4-METHYLPENTYL)OCTAHYDRO-PYRROLO[1,2-A] PYRIMIDINE"
"CMP5881","DB08631","experimental","N-(4-CHLOROPHENYL)-1,2,3,4-TETRAHYDROISOQUINOLINE-7-SULFONAMIDE"
"CMP5882","DB08632","experimental","Trimesic acid"
"CMP5883","DB08633","investigational","TNP-470"
"CMP5884","DB08634","experimental","6-BENZYL-1-BENZYLOXYMETHYL-5-ISOPROPYL URACIL"
"CMP5885","DB08635","experimental","N-(TRANS-4'-NITRO-4-STILBENYL)-N-METHYL-5-AMINO-PENTANOIC ACID"
"CMP5886","DB08636","experimental","2-Hydroxybenzalpyruvate"
"CMP5887","DB08638","experimental","1-hydroperoxy-L-tryptophan"
"CMP5888","DB08639","investigational","Dapivirine"
"CMP5889","DB08640","experimental","(2S,3S)-3-FORMYL-2-({[(4-METHYLPHENYL)SULFONYL]AMINO}METHYL)PENTANOIC ACID"
"CMP5890","DB08641","experimental","(2S,3S)-3-FORMYL-2-({[(4-NITROPHENYL)SULFONYL]AMINO}METHYL)PENTANOIC ACID"
"CMP5891","DB08642","experimental","(2R,6S)-6-{[methyl(3,4,5-trimethoxyphenyl)amino]methyl}-1,2,5,6,7,8-hexahydroquinazoline-2,4-diamine"
"CMP5892","DB08643","experimental","2-(2-{2-[(BIPHENYL-4-YLMETHYL)-AMINO]-3-MERCAPTO-PENTANOYLAMINO}-ACETYLAMINO)-3-METHYL-BUTYRIC ACID METHYL ESTER"
"CMP5893","DB08644","experimental","{1-[2-(1-FORMYL-PROPYL)-3-METHANESULFONYLAMINO-PYRROLIDINE-1-CARBONYL]-2-METHYL-PROPYL}-CARBAMIC ACID TERT-BUTYL ESTER"
"CMP5894","DB08645","experimental","6-CHLORO-3-(DICHLOROMETHYL)-3,4-DIHYDRO-2H-1,2,4-BENZOTHIADIAZINE-7-SULFONAMIDE 1,1-DIOXIDE"
"CMP5895","DB08646","experimental","TRW3-(2-AMINO-3-HYDROXY-PROPYL)-6-(N'-CYCLOHEXYL-HYDRAZINO)OCTAHYDRO-INDOL-7-OL"
"CMP5896","DB08647","experimental","Trazeolide"
"CMP5897","DB08648","experimental","8-Hydroxy-2-oxa-bicyclo[3.3.1]non-6-ene-3,5-dicarboxylic acid"
"CMP5898","DB08649","experimental","(1S)-1-AMINO-2-(1H-INDOL-3-YL)ETHANOL"
"CMP5899","DB08651","experimental","3'-THIO-THYMIDINE-5'-PHOSPHATE"
"CMP5900","DB08652","experimental","Indoleacetamide"
"CMP5901","DB08653","experimental","Tryptamine"
"CMP5902","DB08654","experimental","TRANS-(1S,2S)-2-AMINO-1,2,3,4-TETRAHYDRONAPHTHALEN-1-OL"
"CMP5903","DB08655","experimental","9-ACETYL-2,3,4,9-TETRAHYDRO-1H-CARBAZOL-1-ONE"
"CMP5904","DB08656","experimental","5-amino-2-methyl-N-[(1R)-1-naphthalen-1-ylethyl]benzamide"
"CMP5905","DB08657","experimental","2-(4-(2-((3-(5-(PYRIDIN-2-YLTHIO)THIAZOL-2-YL)UREIDO)METHYL)-1H-IMIDAZOL-4-YL)PHENOXY)ACETIC ACID"
"CMP5906","DB08658","experimental","Ethyl hydrogen diethylamidophosphate"
"CMP5907","DB08659","experimental","2-(hydrazinocarbonyl)-3-phenyl-1H-indole-5-sulfonamide"
"CMP5908","DB08660","experimental","Quinalizarin"
"CMP5909","DB08661","experimental","1-(2,5-dideoxy-5-pyrrolidin-1-yl-beta-L-erythro-pentofuranosyl)-5-methylpyrimidine-2,4(1H,3H)-dione"
"CMP5910","DB08662","experimental","3-[1-(4-BROMO-PHENYL)-2-METHYL-PROPYL]-4-HYDROXY-CHROMEN-2-ONE"
"CMP5911","DB08663","experimental","4-HYDROXY-7-METHOXY-3-(1-PHENYL-PROPYL)-CHROMEN-2-ONE"
"CMP5912","DB08664","experimental","({3-[1-(4-Hydroxy-2-oxo-2H-chromen-3-yl)-propyl]-phenylcarbamoyl}-methyl)-carbamic acid tert-butyl ester"
"CMP5913","DB08665","experimental","6,11-DIHYDRO-11-ETHYL-6-METHYL-9-NITRO-5H-PYRIDO[2,3-B][1,5]BENZODIAZEPIN-5-ONE"
"CMP5914","DB08666","experimental","5-imino-4-(3-trifluoromethyl-phenylazo)-5H-pyrazol-3-ylamine"
"CMP5915","DB08667","experimental","4-(4-fluoro-phenylazo)-5-imino-5H-pyrazol-3-ylamine"
"CMP5916","DB08668","experimental","3-(5-Amino-3-imino-3H-pyrazol-4-ylazo)-benzoic acid"
"CMP5917","DB08669","experimental","METHYL N-[(2S,3R)-3-AMINO-2-HYDROXY-3-(4-METHYLPHENYL)PROPANOYL]-D-ALANYL-D-LEUCINATE"
"CMP5918","DB08670","experimental","METHYL N-[(2S,3R)-3-AMINO-2-HYDROXY-3-(4-ISOPROPYLPHENYL)PROPANOYL]-D-ALANYL-D-LEUCINATE"
"CMP5919","DB08671","experimental","5-Imino-4-(2-trifluoromethyl-phenylazo)-5H-pyrazol-3-ylamine"
"CMP5920","DB08672","experimental","4-[(3R)-3-{[2-(4-FLUOROPHENYL)-2-OXOETHYL]AMINO}BUTYL]BENZAMIDE"
"CMP5921","DB08673","experimental","4-[(5-ISOPROPYL-1,3-THIAZOL-2-YL)AMINO]BENZENESULFONAMIDE"
"CMP5922","DB08674","experimental","(20S)-19,20,21,22-TETRAHYDRO-19-OXO-5H-18,20-ETHANO-12,14-ETHENO-6,10-METHENO-18H-BENZ[D]IMIDAZO[4,3-K][1,6,9,12]OXATRIAZA-CYCLOOCTADECOSINE-9-CARBONITRILE"
"CMP5923","DB08675","experimental","(5Z)-7-{(1R,4S,5R,6R)-6-[(1E)-1-Octen-1-yl]-2,3-diazabicyclo[2.2.1]hept-2-en-5-yl}-5-heptenoic acid"
"CMP5924","DB08677","experimental","N-(5-Isopropyl-thiazol-2-YL)-2-pyridin-3-YL-acetamide"
"CMP5925","DB08678","experimental","(4-ETHYLPHENYL)SULFAMIC ACID"
"CMP5926","DB08680","experimental","N-{3-[(E)-(tert-butoxyimino)methyl]-4-chlorophenyl}-2-methylfuran-3-carbimidothioic acid"
"CMP5927","DB08681","experimental","1-METHYL ETHYL 2-CHLORO-5-[[[(1-METHYLETHOXY)THIOOXO]METHYL]AMINO]-BENZOATE"
"CMP5928","DB08682","experimental","1-METHYL ETHYL 1-CHLORO-5-[[(5,6DIHYDRO-2-METHYL-1,4-OXATHIIN-3-YL)CARBONYL]AMINO]BENZOATE"
"CMP5929","DB08683","experimental","REL-(9R,12S)-9,10,11,12-TETRAHYDRO-9,12-EPOXY-1H-DIINDOLO[1,2,3-FG:3',2',1'-KL]PYRROLO[3,4-I][1,6]BENZODIAZOCINE-1,3(2H)-DIONE"
"CMP5930","DB08684","experimental","O-Decyl Hydrogen Thiocarbonate"
"CMP5931","DB08685","experimental","1-(1,4-dimethyl-1,2,3,4-tetrahydroquinoxalin-6-yl)methanamine"
"CMP5932","DB08686","experimental","5,6,7,8,9,10-HEXAHYDRO-4-HYDROXY-3-(1-PHENYLPROPYL)CYCLOOCTA[B]PYRAN-2-ONE"
"CMP5933","DB08687","investigational","FG-2216"
"CMP5934","DB08688","experimental","2-Undecanone"
"CMP5935","DB08689","experimental","Ubiquinone Q1"
"CMP5936","DB08690","experimental","Ubiquinone Q2"
"CMP5937","DB08691","experimental","ethyl 3-[(E)-2-amino-1-cyanoethenyl]-6,7-dichloro-1-methyl-1H-indole-2-carboxylate"
"CMP5938","DB08694","experimental","Variolin B"
"CMP5939","DB08695","experimental","3-(4-nitrophenyl)-1H-pyrazole"
"CMP5940","DB08697","experimental","4-(2-aminoethoxy)-N-(3-chloro-5-piperidin-1-ylphenyl)-3,5-dimethylbenzamide"
"CMP5941","DB08698","experimental","1-[(3S)-5-PHENYL-3-THIOPHEN-2-YL-3H-1,4-BENZODIAZEPIN-2-YL]AZETIDIN-3-OL"
"CMP5942","DB08699","experimental","1-tert-butyl-3-(3-methylbenzyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine"
"CMP5943","DB08701","experimental","2-(3-BROMOPHENYL)-6-[(2-HYDROXYETHYL)AMINO]-1H-BENZO[DE]ISOQUINOLINE-1,3(2H)-DIONE"
"CMP5944","DB08702","experimental","2,5-DIPHENYLFURAN-3,4-DICARBOXYLIC ACID"
"CMP5945","DB08703","experimental","12-(2-hydroxyethyl)-2-(1-methylethoxy)-13,14-dihydronaphtho[2,1-a]pyrrolo[3,4-c]carbazol-5(12H)-one"
"CMP5946","DB08704","experimental","[[(3R,4R,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-(pentanoylamino)oxan-2-ylidene]amino] N-phenylcarbamate"
"CMP5947","DB08705","experimental","6-(5-BROMO-2-HYDROXYPHENYL)-2-OXO-4-PHENYL-1,2-DIHYDROPYRIDINE-3-CARBONITRILE"
"CMP5948","DB08706","experimental","(2S)-({(5Z)-5-[(5-Ethyl-2-furyl)methylene]-4-oxo-4,5-dihydro-1,3-thiazol-2-yl}amino)(4-fluorophenyl)acetic acid"
"CMP5949","DB08707","experimental","4-[3-(4-chlorophenyl)-2,1-benzisoxazol-5-yl]pyrimidin-2-amine"
"CMP5950","DB08708","experimental","N-cyclohexyl-3-[3-(trifluoromethyl)phenyl][1,2,4]triazolo[4,3-b]pyridazin-6-amine"
"CMP5951","DB08709","experimental","2,3-diphenyl-1H-indole-7-carboxylic acid"
"CMP5952","DB08710","experimental","(5Z)-5-[(5-ethylfuran-2-yl)methylidene]-2-[[(S)-(4-fluorophenyl)-(2H-tetrazol-5-yl)methyl]amino]-1,3-thiazol-4-one"
"CMP5953","DB08711","experimental","Methyl vanillate"
"CMP5954","DB08712","experimental","11-[(MERCAPTOCARBONYL)OXY]UNDECANOIC ACID"
"CMP5955","DB08713","experimental","2,6-DIMETHYL-1-(3-[3-METHYL-5-ISOXAZOLYL]-PROPANYL)-4-[2N-METHYL-2H-TETRAZOL-5-YL]-PHENOL"
"CMP5956","DB08714","experimental","2,6-DIMETHYL-1-(3-[3-METHYL-5-ISOXAZOLYL]-PROPANYL)-4-[4-METHYL-2H-TETRAZOL-2-YL]-PHENOL"
"CMP5957","DB08715","experimental","2,6-DIMETHYL-1-(3-[3-METHYL-5-ISOXAZOLYL]-PROPANYL)-4-[2-METHYL-4-ISOXAZOLYL]-PHENOL"
"CMP5958","DB08717","experimental","[(2S)-4-methyl-3-oxo-2,3,4,5-tetrahydro-1H-1,4-benzodiazepin-2-yl]acetic acid"
"CMP5959","DB08718","experimental","4-(3-ethylthiophen-2-yl)benzene-1,2-diol"
"CMP5960","DB08719","experimental","5-(5-(6-CHLORO-4-(4,5-DIHYDRO-2-OXAZOLYL)PHENOXY)PENTYL)-3-METHYL ISOXAZOLE"
"CMP5961","DB08720","experimental","5-(5-(4-(4,5-dihydro-2-oxazoly)phenoxy)pentyl)-3-methyl osoxazole"
"CMP5962","DB08721","experimental","5-(5-(2,6-dichloro-4-(4,5-dihydro-2-oxazolyl)phenoxy)pentyl)-3-(hydroxyethyl oxymethyleneoxymethyl) isoxazole"
"CMP5963","DB08722","experimental","5-(7-(6-chloro-4-(5-hydro-4-methyl-2-oxazolyl)phenoxy)heptyl)-3-methyl isoxazole"
"CMP5964","DB08723","experimental","WIN-54954"
"CMP5965","DB08724","experimental","5-(5-(4-(5-hydro-4-methyl-2-oxazolyl)phenoxy)pentyl)-3-methyl isoxazole"
"CMP5966","DB08725","experimental","(S)-5-(7-(4-(4-Ethyl-4,5-dihydro-2-oxazolyl)phenoxy)heptyl)-3-methylisoxazole"
"CMP5967","DB08726","experimental","5-(7-(4-(4,5-dihydro-2-oxazolyl)phenoxy)heptyl)-3-methyl isoxazole"
"CMP5968","DB08727","experimental","3-Methyl-5-(7-{4-[(4R)-4-methyl-4,5-dihydro-1,3-oxazol-2-yl]phenoxy}heptyl)-1,2-oxazole"
"CMP5969","DB08728","experimental","5-(3-(2,6-dichloro-4-(4,5-dihydro-2-oxazolyl)phenoxy)propyl)-3-methyl isoxazole"
"CMP5970","DB08729","experimental","5-ethoxy-4-(1-methyl-7-oxo-3-propyl-6,7-dihydro-1H-pyrazolo[4,3-d]pyrimidin-5-yl)thiophene-2-sulfonamide"
"CMP5971","DB08730","experimental","3-FLUORO-5-MORPHOLIN-4-YL-N-[1-(2-PYRIDIN-4-YLETHYL)-1H-INDOL-6-YL]BENZAMIDE"
"CMP5972","DB08731","experimental","2-[(1R)-2-carboxy-1-(naphthalen-1-ylmethyl)ethyl]-1,3-dioxo-2,3-dihydro-1H-isoindole-5-carboxylic acid"
"CMP5973","DB08732","experimental","NALPHA-[(BENZYLOXY)CARBONYL]-N-[(1R)-4-HYDROXY-1-METHYL-2-OXOBUTYL]-L-PHENYLALANINAMIDE"
"CMP5974","DB08733","experimental","(2R,3R)-N^1^-[(1S)-2,2-DIMETHYL-1-(METHYLCARBAMOYL)PROPYL]-N^4^-HYDROXY-2-(2-METHYLPROPYL)-3-{[(1,3-THIAZOL-2-YLCARBONYL)AMINO]METHYL}BUTANEDIAMIDE"
"CMP5975","DB08734","experimental","6,6-DIMETHYL-1-[3-(2,4,5-TRICHLOROPHENOXY)PROPOXY]-1,6-DIHYDRO-1,3,5-TRIAZINE-2,4-DIAMINE"
"CMP5976","DB08735","experimental","R,S-Warfarin alcohol"
"CMP5977","DB08736","experimental","S,R-Warfarin alcohol"
"CMP5978","DB08737","experimental","(3AS,4R,9BR)-4-(4-HYDROXYPHENYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-9-OL"
"CMP5979","DB08738","experimental","1-{3-oxo-3-[(2S)-2-(pyrrolidin-1-ylcarbonyl)pyrrolidin-1-yl]propyl}-3-phenylquinoxalin-2(1H)-one"
"CMP5980","DB08739","experimental","2-{3-[(2S)-4,4-difluoro-2-(pyrrolidin-1-ylcarbonyl)pyrrolidin-1-yl]-3-oxopropyl}-isoindole-1,3(2H)-dione"
"CMP5981","DB08740","experimental","CYCLOHEXYLMETHYL-2,3-DIHYDROXY-5-METHYL-HEXYLAMIDE"
"CMP5982","DB08741","experimental","5-[[(2R)-2-cyclopropyl-7,8-dimethoxy-2H-chromen-5-yl]methyl]pyrimidine-2,4-diamine"
"CMP5983","DB08742","experimental","1,3-CYCLOHEXANEDIOL, 4-METHYLENE-5-[(2E)-[(1S,3AS,7AS)-OCTAHYDRO-1-(5-HYDROXY-5-METHYL-1,3-HEXADIYNYL)-7A-METHYL-4H-INDEN-4-YLIDENE]ETHYLIDENE]-, (1R,3S,5Z)"
"CMP5984","DB08743","experimental","2-({8-[(3R)-3-AMINOPIPERIDIN-1-YL]-1,3-DIMETHYL-2,6-DIOXO-1,2,3,6-TETRAHYDRO-7H-PURIN-7-YL}METHYL)BENZONITRILE"
"CMP5985","DB08744","experimental","Casimiroin"
